Title,PR_Number,Body,State,Created_At,Closed_At,User,Commits,Additions,Deletions,Changed_Files
Fix crash for trade notifications as Spectator or during waiting for player,10614,"Closes #10602

Simplistic hack, didn't really check in-depth whether maybe more exclusions or ""selectedCiv"" uses instead of ""viewingCiv"" would be in order. Tapping a tech researched notif as Spectator - what will it do??? OK - checked that, answer: blank beginner techscreen, fixed. But there might be more.",open,2023-11-28T19:56:17Z,,SomeTroglodyte,2,6,2,1
Update Italian.properties,10612,,open,2023-11-28T14:26:07Z,,Smashfanful,1,15,30,1
(Tool) Tiny helper to load MP saves (from issues for debugging) as hotseat,10610,"... as button on the Debug tab. This is inspired by #10602 making me want such a tool for the maybe sixth time over a year, but at the end of the day - worth it? You throw the dice, I'm 50:50.",open,2023-11-28T11:40:06Z,,SomeTroglodyte,2,29,11,3
Added unique MayBuyConstructionsInPupets,10597,"It's a tiny update that adds the Unique allowed-to-buy items (units and buildings) in puppet cities.

May be helpful for Modders to create more versatile nations.

(This is my first PR to Unciv, so any suggestions are welcomed).",open,2023-11-27T07:53:00Z,,rpolitex,2,11,2,3
Add iHasUniques.techColumn(),10595,"Don't look at this before https://github.com/yairm210/Unciv/pull/10593 is resolved!

This branch is branched off of https://github.com/yairm210/Unciv/pull/10593. This will be much harder to read with https://github.com/yairm210/Unciv/pull/10593 changes intermixed. After https://github.com/yairm210/Unciv/pull/10593 is merged, this should be much more readable.

(This should, however, be orthogonal to https://github.com/yairm210/Unciv/pull/10594.)

This adds the convenience function `techColumn()` and replaces all references to `ruleset.technologies[building.requiredTech]?.column` with calls to `techColumn()`.",open,2023-11-27T04:23:53Z,,dHannasch,12,32,6,6
Add iHasUniques.availableInEra(),10594,"Don't look at this before https://github.com/yairm210/Unciv/pull/10593 is resolved!

This branch is branched off of https://github.com/yairm210/Unciv/pull/10593. This will be much harder to read with https://github.com/yairm210/Unciv/pull/10593 changes intermixed. After https://github.com/yairm210/Unciv/pull/10593 is merged, this should be much more readable.

There was one particularly complicated use of `requiredTech` in CityStateFunctions.kt. This extracts the whole kit-n-caboodle into its own function (which is only called in one place).",open,2023-11-27T03:59:05Z,,dHannasch,12,39,6,6
Stats per Stat unique,10591,"Syntax:
[stats] per [amount] [stat]

Example: 
[+1 Gold] per [100] [Gold]

In that case, if player has 1000 gold, he/she gets additonal 10 gold per turn. If the number of stockpiled gold is 5000, the bonus is 50 gold per turn. If the player has less than 100 gold, there is no bonus.

Why?
This unique can be used by modders to give players the additional bonus for accumulating a large amount of specified stat. The most obvious example is the compound interest.

If you have any suggestions, please share your thoughts in comments",open,2023-11-26T18:54:16Z,,PLynx01,1,6,1,2
ConditionalDisjunction,10588,"This doesn't actually work, this is just to follow up on discussion. As you can see, implementing ""This policy cannot be adopted unless *either* Theology is discovered *or* a religion is founded"" would be quite straightforward on the back end, unless I'm missing something. The hard part is the text parsing. I don't know how to make that work.

The reason it doesn't work is because https://github.com/yairm210/Unciv/blob/master/core/src/com/unciv/models/translations/Translations.kt#L492
```
fun String.getConditionals(): List<Unique> {
    if (!this.contains('<')) return emptyList()
    return pointyBraceRegex.findAll(this).map { Unique(it.groups[1]!!.value) }.toList()
}
```
doesn't allow nesting conditionals. (Obviously, once everything is parsed into objects, the Unique objects do allow nesting conditionals.)",open,2023-11-26T17:10:56Z,,dHannasch,3,4,0,2
Add iHasUniques.requiredTechs,10587,"This doesn't touch any usages, just drops all the techs from the Uniques into the function.

This shouldn't cause any problems, because https://github.com/yairm210/Unciv/pull/10585 didn't change any of the more complicated usages where dropping in the techs from the Uniques would cause problems.",open,2023-11-26T16:33:18Z,,dHannasch,3,12,1,2
Update Belarusian.properties,10566,,open,2023-11-24T09:19:57Z,,twinflac,1,11,22,1
