roadster,teslamotors,2008-2012 Roadster Development and Diagnostic Software files,https://service.tesla.com/roadster,No license,265,763,2023-11-27T06:58:29Z
hot-tips,wesbos,The code behind my hot tips,,No license,184,676,2023-11-27T07:11:53Z
Unciv,yairm210,Open-source Android/Desktop remake of Civ V,,Mozilla Public License 2.0,1370,6735,2023-11-28T21:28:58Z
datasharing,chandana34,The Leek group guide to data sharing ,,No license,0,0,2016-09-24T13:08:46Z
datasciencecoursera,chandana34,DataScientist's Toolbox Assignment,,No license,0,0,2016-09-24T04:56:48Z
Vector-Clock,varunu28,An implementation of Vector Clock in Java :alarm_clock:,https://distributed-computing-musings.com/2023/04/vector-clocks-so-what-time-is-it/,No license,2,7,2023-11-10T05:04:11Z
Vector-Clock,varunu28,An implementation of Vector Clock in Java :alarm_clock:,https://distributed-computing-musings.com/2023/04/vector-clocks-so-what-time-is-it/,No license,2,7,2023-11-10T05:04:11Z
datasharing,chandana34,The Leek group guide to data sharing ,,No license,0,0,2016-09-24T13:08:46Z
datasharing,chandana34,The Leek group guide to data sharing ,,No license,0,0,2016-09-24T13:08:46Z
datasharing,chandana34,The Leek group guide to data sharing ,,No license,0,0,2016-09-24T13:08:46Z
ci-tests,nfs-ganesha,Continuous integration helpers for nfs-ganesha,,No license,14,1,2017-05-04T16:16:55Z
